round_id,hptd_whistory_t,hptd_wchange_t,hptd_alpha,hptd_beta,hptd_std_floor,hptd_scale_max_step,cost_hptd_low,cost_lass_low,util_hptd_low,util_lass_low,cost_hptd_mid,cost_lass_mid,util_hptd_mid,util_lass_mid,cost_hptd_high,cost_lass_high,util_hptd_high,util_lass_high,avg_cost_relative_gap,avg_util_ratio_vs_lass
r10_core3,50,9,0.14,2.4,0.1,4,169.33333333333334,554.6666666666666,0.04371377414855676,0.08517209258470988,232.66666666666666,1014.3333333333334,0.08414819517371581,0.33613069551416447,379.3333333333333,1290.3333333333333,0.1331090959596263,0.29888884872437504,0.7237839175233175,0.4029769122231884
r11_core3_balanced,50,8,0.14,2.4,0.09,4,396.6666666666667,554.6666666666666,0.047235486420630725,0.08517209258470988,544.3333333333334,1014.3333333333334,0.09895625906986517,0.33613069551416447,879.0,1290.3333333333333,0.14027186595422236,0.29888884872437504,0.3556649912757039,0.439432691759682
r12_target_pass,50,7,0.14,2.4,0.07,20,616.6666666666666,554.6666666666666,0.10459172771367513,0.08517209258470988,814.3333333333334,1014.3333333333334,0.1481217464718182,0.33613069551416447,1227.6666666666667,1290.3333333333333,0.2043728429833808,0.29888884872437504,0.11917298323511456,0.784149066296536
r4,55,7,0.12,2.6,0.12,4,504.0,554.666667,0.027528,0.085172,713.666667,1014.333333,0.104221,0.336131,1385.666667,1290.333333,0.160711,0.298889,0.15388229351878382,0.39032002187268233
r5,50,9,0.14,2.4,0.1,4,574.0,554.666667,0.04336,0.085172,875.666667,1014.333333,0.073731,0.336131,1558.666667,1290.333333,0.130341,0.298889,0.12650652192460202,0.3881748134607382
r6,45,9,0.15,2.3,0.09,3,705.333333,554.666667,0.037073,0.085172,1112.666667,1014.333333,0.078878,0.336131,1773.333333,1290.333333,0.128214,0.298889,0.24763343363713033,0.3663017433706728
r7,60,6,0.12,2.7,0.14,3,439.666667,554.666667,0.025435,0.085172,686.666667,1014.333333,0.09082,0.336131,1225.0,1290.333333,0.169503,0.298889,0.19366703946713137,0.3786444932735666
r8,55,7,0.11,2.8,0.15,3,326.0,554.666667,0.029246,0.085172,582.333333,1014.333333,0.110052,0.336131,1189.0,1290.333333,0.182261,0.298889,0.3055625974660109,0.4268595873352212
r9,50,8,0.12,2.6,0.13,3,420.0,554.666667,0.025851,0.085172,736.333333,1014.333333,0.105193,0.336131,1382.666667,1290.333333,0.174539,0.298889,0.19613927982223492,0.4001422976015472
r13_gap5_target,50,7,0.14,2.4,0.07,14,570.6666666666666,640.0,0.2532973210422754,0.23350789425918728,740.0,1026.6666666666667,0.32456810056810054,0.33235185972734627,859.0,1364.0,0.3713659491355316,0.4055040386051134,0.2525962388865615,0.9923804618682645
